,postal_code,median_income
0,19107.0,60676.0
1,19106.0,116368.0
2,19147.0,86147.0
4,19127.0,74936.0
5,19123.0,77111.0
6,19104.0,28603.0
7,19130.0,88858.0
9,19124.0,36884.0
12,19139.0,30490.0
14,19115.0,57323.0
16,19146.0,77091.0
17,19103.0,79110.0
18,19126.0,51858.0
21,19131.0,39672.0
24,19114.0,65893.0
25,19121.0,25162.0
30,19154.0,72161.0
33,19143.0,37434.0
35,19134.0,34374.0
36,19102.0,110096.0
41,19128.0,76854.0
44,19111.0,51567.0
48,19118.0,85766.0
50,19153.0,54485.0
54,19141.0,36572.0
57,19129.0,72328.0
62,19148.0,60226.0
64,19120.0,38996.0
82,19151.0,47174.0
86,19119.0,73671.0
95,19122.0,44758.0
96,19149.0,47196.0
101,19176.0,66177.93537346486
104,19136.0,54391.0
110,19135.0,44329.0
117,19145.0,54353.0
131,19152.0,55927.0
144,19125.0,79612.0
162,19138.0,43556.0
199,19116.0,58203.0
210,19144.0,35047.0
303,19112.0,66177.93537346486
309,19137.0,53750.0
311,19132.0,23256.0
327,19133.0,24725.0
329,19140.0,23138.0
357,19142.0,35049.0
379,19150.0,51163.0
522,19195.0,66177.93537346486
847,19155.0,66177.93537346486
1132,19113.0,53125.0
2797,19454.0,94410.0
3085,19019.0,66177.93537346486
4495,19092.0,66177.93537346486
4721,0.0,66177.93537346486
